customer_id,age,gender,total_purchase_amount,location,total_purchases,is_subscriber,preferred_size,preferred_color,preferred_shipping,used_promo_code,preferred_payment_method,average_review_rating,average_purchase_amount,cluster
5,45,Male,49,Oregon,32,True,M,Turquoise,Free Shipping,True,PayPal,2.7,1.53125,0
6,46,Male,20,Wyoming,15,True,M,White,Standard,True,Venmo,2.9,1.3333333333333333,0
9,26,Male,97,West Virginia,9,True,L,Silver,Express,True,Venmo,2.6,10.777777777777779,0
16,64,Male,81,Rhode Island,9,True,M,Teal,Store Pickup,True,PayPal,2.8,9.0,0
24,31,Male,88,Oklahoma,41,True,XL,White,Express,True,Credit Card,4.4,2.1463414634146343,0
26,18,Male,25,Texas,15,True,M,Silver,Express,True,PayPal,3.6,1.6666666666666667,0
35,36,Male,91,North Dakota,39,True,L,Violet,2-Day Shipping,True,PayPal,4.6,2.3333333333333335,0
58,21,Male,64,West Virginia,18,True,M,White,Store Pickup,True,Debit Card,4.4,3.5555555555555554,0
62,55,Male,68,Texas,22,True,M,Orange,Store Pickup,True,Credit Card,4.7,3.090909090909091,0
69,57,Male,46,Utah,22,True,L,Silver,Next Day Air,True,Cash,3.9,2.090909090909091,0
82,67,Male,96,Virginia,37,True,L,Maroon,Express,True,Credit Card,2.6,2.5945945945945947,0
84,36,Male,40,Texas,35,True,M,Turquoise,Standard,True,Bank Transfer,4.1,1.1428571428571428,0
89,33,Male,47,Wyoming,36,True,M,Orange,Free Shipping,True,Credit Card,3.5,1.3055555555555556,0
91,25,Male,48,South Carolina,30,True,L,Violet,Express,True,Credit Card,2.9,1.6,0
93,61,Male,87,Texas,14,True,M,Olive,2-Day Shipping,True,Venmo,4.4,6.214285714285714,0
98,21,Male,92,Virginia,38,True,M,Teal,Store Pickup,True,Cash,4.8,2.4210526315789473,0
101,62,Male,98,South Dakota,32,True,M,Maroon,Express,True,Cash,2.7,3.0625,0
102,27,Male,85,North Dakota,51,True,XL,White,Express,True,Credit Card,4.6,1.6666666666666667,0
103,51,Male,67,Oklahoma,36,True,L,Violet,Next Day Air,True,Credit Card,4.8,1.8611111111111112,0
104,54,Male,89,West Virginia,23,True,L,Red,Next Day Air,True,Venmo,4.0,3.869565217391304,0
118,50,Male,32,South Dakota,30,True,L,Yellow,Express,True,Cash,4.6,1.0666666666666667,0
120,38,Male,76,Wyoming,45,True,M,Orange,Express,True,Cash,4.3,1.6888888888888889,0
121,64,Male,84,West Virginia,33,True,L,Red,Express,True,Bank Transfer,4.0,2.5454545454545454,0
122,19,Male,72,Virginia,12,True,M,Olive,Standard,True,Cash,4.2,6.0,0
130,24,Male,67,Pennsylvania,50,True,XL,Olive,2-Day Shipping,True,PayPal,4.2,1.34,0
137,39,Male,86,South Carolina,5,True,M,White,Free Shipping,True,Debit Card,3.3,17.2,0
141,63,Male,28,North Carolina,51,True,L,Yellow,2-Day Shipping,True,Credit Card,3.9,0.5490196078431373,0
142,56,Male,46,Virginia,46,True,M,Turquoise,Free Shipping,True,PayPal,4.9,1.0,0
152,28,Male,47,North Dakota,4,True,L,Turquoise,Next Day Air,True,Venmo,4.5,11.75,0
158,36,Male,68,Vermont,2,True,S,Yellow,Next Day Air,True,Bank Transfer,3.0,34.0,0
161,27,Male,23,Texas,35,True,M,Orange,Free Shipping,True,Venmo,4.6,0.6571428571428571,0
164,54,Male,67,Virginia,9,True,M,Purple,Standard,True,Debit Card,3.4,7.444444444444445,0
171,52,Male,25,Wyoming,47,True,M,Maroon,Store Pickup,True,Venmo,2.6,0.5319148936170213,0
176,53,Male,86,Oklahoma,3,True,L,Violet,Next Day Air,True,Bank Transfer,2.8,28.666666666666668,0
186,46,Male,32,Wisconsin,35,True,XL,Silver,Store Pickup,True,Bank Transfer,4.5,0.9142857142857143,0
190,36,Male,82,West Virginia,5,True,M,Maroon,Next Day Air,True,Credit Card,4.4,16.4,0
194,36,Male,100,North Dakota,30,True,S,Silver,Standard,True,Venmo,3.0,3.3333333333333335,0
199,57,Male,45,Utah,40,True,M,Turquoise,Standard,True,Credit Card,4.8,1.125,0
201,25,Male,61,Pennsylvania,30,True,S,Teal,Next Day Air,True,Venmo,3.3,2.033333333333333,0
207,24,Male,55,Wisconsin,7,True,L,Silver,Free Shipping,True,Venmo,4.2,7.857142857142857,0
208,62,Male,91,Rhode Island,18,True,M,Silver,Express,True,Bank Transfer,2.9,5.055555555555555,0
211,45,Male,22,Vermont,7,True,L,Teal,2-Day Shipping,True,PayPal,3.0,3.142857142857143,0
212,69,Male,92,South Dakota,46,True,L,Maroon,2-Day Shipping,True,Debit Card,4.2,2.0,0
218,35,Male,48,Oklahoma,25,True,M,Purple,Next Day Air,True,Bank Transfer,3.5,1.92,0
224,20,Male,41,Wyoming,35,True,M,Turquoise,Free Shipping,True,PayPal,4.8,1.1714285714285715,0
227,29,Male,74,Texas,6,True,L,Violet,Free Shipping,True,PayPal,3.3,12.333333333333334,0
228,50,Male,90,Rhode Island,26,True,M,Turquoise,Standard,True,Venmo,4.2,3.4615384615384617,0
230,70,Male,28,Ohio,28,True,S,Silver,Next Day Air,True,PayPal,4.6,1.0,0
231,66,Male,88,Utah,44,True,L,Olive,Standard,True,Credit Card,4.1,2.0,0
235,20,Male,39,South Dakota,25,True,S,Silver,Next Day Air,True,Credit Card,3.7,1.56,0
239,64,Male,34,Ohio,6,True,M,Peach,Free Shipping,True,Cash,4.2,5.666666666666667,0
240,49,Male,51,Vermont,48,True,L,Yellow,Express,True,Credit Card,2.9,1.0625,0
257,58,Male,30,South Dakota,21,True,XL,Violet,Express,True,Credit Card,4.7,1.4285714285714286,0
258,20,Male,53,West Virginia,6,True,M,Red,Express,True,Credit Card,4.5,8.833333333333334,0
274,69,Male,33,North Dakota,33,True,S,Silver,Express,True,Debit Card,4.2,1.0,0
277,25,Male,30,South Dakota,12,True,XL,Turquoise,Express,True,Bank Transfer,3.5,2.5,0
285,63,Male,45,Ohio,5,True,M,Red,Standard,True,PayPal,3.5,9.0,0
290,49,Male,85,New York,27,True,M,Yellow,2-Day Shipping,True,Credit Card,4.5,3.1481481481481484,0
304,20,Male,60,Oregon,50,True,M,Turquoise,Next Day Air,True,Venmo,3.3,1.2,0
306,60,Male,59,Utah,27,True,M,Teal,2-Day Shipping,True,PayPal,3.5,2.185185185185185,0
307,26,Male,49,North Dakota,5,True,S,White,Express,True,Cash,3.6,9.8,0
312,69,Male,52,Rhode Island,20,True,L,Silver,Store Pickup,True,Bank Transfer,4.1,2.6,0
