customer_id,age,gender,total_purchase_amount,location,total_purchases,is_subscriber,preferred_size,preferred_color,preferred_shipping,used_promo_code,preferred_payment_method,average_review_rating,average_purchase_amount
1,55,Male,53,Kentucky,15,True,L,Gray,Express,True,Venmo,3.1,3.533333333333333
2,19,Male,64,Maine,3,True,L,Maroon,Express,True,Cash,3.1,21.333333333333332
3,50,Male,73,Massachusetts,24,True,S,Maroon,Free Shipping,True,Credit Card,3.1,3.0416666666666665
4,21,Male,90,Rhode Island,50,True,M,Maroon,Next Day Air,True,PayPal,3.5,1.8
5,45,Male,49,Oregon,32,True,M,Turquoise,Free Shipping,True,PayPal,2.7,1.53125
6,46,Male,20,Wyoming,15,True,M,White,Standard,True,Venmo,2.9,1.3333333333333333
7,63,Male,85,Montana,50,True,M,Gray,Free Shipping,True,Cash,3.2,1.7
8,27,Male,34,Louisiana,20,True,L,Charcoal,Free Shipping,True,Credit Card,3.2,1.7
9,26,Male,97,West Virginia,9,True,L,Silver,Express,True,Venmo,2.6,10.777777777777779
10,57,Male,31,Missouri,5,True,M,Pink,2-Day Shipping,True,Cash,4.8,6.2
11,53,Male,34,Arkansas,27,True,L,Purple,Store Pickup,True,Bank Transfer,4.1,1.2592592592592593
12,30,Male,68,Hawaii,11,True,S,Olive,Store Pickup,True,Bank Transfer,4.9,6.181818181818182
13,61,Male,72,Delaware,38,True,M,Gold,Express,True,Venmo,4.5,1.894736842105263
14,65,Male,51,New Hampshire,32,True,M,Violet,Express,True,PayPal,4.7,1.59375
15,64,Male,53,New York,35,True,L,Teal,Free Shipping,True,Debit Card,4.7,1.5142857142857142
16,64,Male,81,Rhode Island,9,True,M,Teal,Store Pickup,True,PayPal,2.8,9.0
17,25,Male,36,Alabama,45,True,S,Gray,Next Day Air,True,Debit Card,4.1,0.8
18,53,Male,38,Mississippi,37,True,XL,Lavender,2-Day Shipping,True,Venmo,4.7,1.027027027027027
19,52,Male,48,Montana,18,True,S,Black,Free Shipping,True,Cash,4.6,2.6666666666666665
20,66,Male,90,Rhode Island,47,True,M,Green,Standard,True,Debit Card,3.3,1.9148936170212767
21,21,Male,51,Louisiana,51,True,M,Black,Express,True,Cash,2.8,1.0
22,31,Male,62,North Carolina,23,True,M,Charcoal,Store Pickup,True,Debit Card,4.1,2.6956521739130435
23,56,Male,37,California,33,True,M,Peach,Store Pickup,True,Debit Card,3.2,1.121212121212121
24,31,Male,88,Oklahoma,41,True,XL,White,Express,True,Credit Card,4.4,2.1463414634146343
25,18,Male,22,Florida,17,True,M,Green,Store Pickup,True,Debit Card,2.9,1.2941176470588236
26,18,Male,25,Texas,15,True,M,Silver,Express,True,PayPal,3.6,1.6666666666666667
27,38,Male,20,Nevada,14,True,M,Red,Next Day Air,True,Credit Card,3.6,1.4285714285714286
28,56,Male,56,Kentucky,8,True,L,Cyan,Next Day Air,True,Bank Transfer,5.0,7.0
29,54,Male,94,North Carolina,42,True,M,Gray,Free Shipping,True,PayPal,4.4,2.238095238095238
30,31,Male,48,Wyoming,15,True,S,Black,Store Pickup,True,Credit Card,4.1,3.2
31,57,Male,31,North Carolina,17,True,L,Black,Standard,True,Credit Card,4.7,1.8235294117647058
32,33,Male,79,West Virginia,46,True,L,Brown,Store Pickup,True,Venmo,4.7,1.7173913043478262
33,36,Male,67,Kansas,38,True,M,Silver,Free Shipping,True,Venmo,4.9,1.763157894736842
34,54,Male,38,Colorado,46,True,L,Green,Store Pickup,True,Cash,3.3,0.8260869565217391
35,36,Male,91,North Dakota,39,True,L,Violet,2-Day Shipping,True,PayPal,4.6,2.3333333333333335
36,54,Male,33,Massachusetts,49,True,M,Cyan,2-Day Shipping,True,Credit Card,4.0,0.673469387755102
37,35,Male,69,Illinois,45,True,M,Maroon,Free Shipping,True,PayPal,4.6,1.5333333333333334
38,35,Male,45,Indiana,11,True,S,Cyan,Store Pickup,True,PayPal,2.8,4.090909090909091
39,29,Male,37,Florida,45,True,M,Red,2-Day Shipping,True,Venmo,3.7,0.8222222222222222
